No,Area Cell,Area Reality,Scoring,Storage,Scoring,Perimeter,Peri-Efficiency,Scoring,Total Score
201,42,12.71,9.71,4,2.64,26,0.0621,11.18,23.53
202,35,10.59,9.99,6,3.51,24,0.0608,10.94,24.43
203,44,13.31,9.56,5,3.09,28,0.0561,10.10,22.75
204,36,10.89,9.97,7,3.90,24,0.0625,11.25,25.12
205,36,10.89,9.97,4,2.64,24,0.0625,11.25,23.86
206,42,12.71,9.71,8,4.29,26,0.0621,11.18,25.18
207,42,12.71,9.71,5,3.09,26,0.0621,11.18,23.98
208,42,12.71,9.71,10,5.01,26,0.0621,11.18,25.90
209,56,16.94,8.07,6,3.51,30,0.0622,11.20,22.78
210,42,12.71,9.71,2,1.62,26,0.0621,11.18,22.52
211,42,12.71,9.71,8,4.29,26,0.0621,11.18,25.18
212,56,16.94,8.07,7,3.90,30,0.0622,11.20,23.18
213,35,10.59,9.99,1,1.00,24,0.0608,10.94,21.92
214,35,10.59,9.99,3,2.16,24,0.0608,10.94,23.08
215,42,12.71,9.71,8,4.29,26,0.0621,11.18,25.18
216,49,14.82,9.07,1,1.00,28,0.0625,11.25,21.32
217,42,12.71,9.71,4,2.64,26,0.0621,11.18,23.53
218,35,10.59,9.99,8,4.29,24,0.0608,10.94,25.21
219,42,12.71,9.71,3,2.16,26,0.0621,11.18,23.05
220,35,10.59,9.99,2,1.62,24,0.0608,10.94,22.55
221,49,14.82,9.07,10,5.01,28,0.0625,11.25,25.33
222,48,14.52,9.18,4,2.64,28,0.0612,11.02,22.84
223,42,12.71,9.71,6,3.51,26,0.0621,11.18,24.40
224,30,9.08,9.97,2,1.62,22,0.0620,11.16,22.75
225,38,11.50,9.91,2,1.62,26,0.0562,10.12,21.65
226,42,12.71,9.71,7,3.90,26,0.0621,11.18,24.80
227,34,10.29,10.00,4,2.64,26,0.0503,9.05,21.69
228,39,11.80,9.87,7,3.90,28,0.0497,8.95,22.73
229,47,14.22,9.29,5,3.09,28,0.0599,10.79,23.16
230,30,9.08,9.97,1,1.00,22,0.0620,11.16,22.12
231,40,12.10,9.82,1,1.00,26,0.0592,10.65,21.47
232,42,12.71,9.71,2,1.62,26,0.0621,11.18,22.52
233,45,13.61,9.48,11,5.36,28,0.0574,10.33,25.17
234,56,16.94,8.07,10,5.01,30,0.0622,11.20,24.29
235,42,12.71,9.71,3,2.16,26,0.0621,11.18,23.05
236,36,10.89,9.97,5,3.09,24,0.0625,11.25,24.30
237,35,10.59,9.99,2,1.62,24,0.0608,10.94,22.55
238,41,12.40,9.77,5,3.09,26,0.0607,10.92,23.77
239,36,10.89,9.97,8,4.29,24,0.0625,11.25,25.51
240,48,14.52,9.18,9,4.66,28,0.0612,11.02,24.86
241,42,12.71,9.71,8,4.29,26,0.0621,11.18,25.18
242,36,10.89,9.97,4,2.64,24,0.0625,11.25,23.86
243,40,12.10,9.82,3,2.16,26,0.0592,10.65,22.63
244,36,10.89,9.97,7,3.90,24,0.0625,11.25,25.12
245,42,12.71,9.71,4,2.64,26,0.0621,11.18,23.53
246,39,11.80,9.87,5,3.09,26,0.0577,10.38,23.34
247,36,10.89,9.97,1,1.00,24,0.0625,11.25,22.22
248,40,12.10,9.82,1,1.00,26,0.0592,10.65,21.47
249,37,11.19,9.94,5,3.09,26,0.0547,9.85,22.88
250,40,12.10,9.82,2,1.62,26,0.0592,10.65,22.10
251,42,12.71,9.71,3,2.16,26,0.0621,11.18,23.05
252,42,12.71,9.71,5,3.09,26,0.0621,11.18,23.98
253,42,12.71,9.71,5,3.09,26,0.0621,11.18,23.98
254,42,12.71,9.71,4,2.64,26,0.0621,11.18,23.53
255,40,12.10,9.82,3,2.16,26,0.0592,10.65,22.63
256,42,12.71,9.71,7,3.90,26,0.0621,11.18,24.80
257,39,11.80,9.87,5,3.09,28,0.0497,8.95,21.91
258,34,10.29,10.00,5,3.09,26,0.0503,9.05,22.14
259,45,13.61,9.48,7,3.90,28,0.0574,10.33,23.71
260,42,12.71,9.71,11,5.36,26,0.0621,11.18,26.25
261,42,12.71,9.71,9,4.66,26,0.0621,11.18,25.55
262,40,12.10,9.82,5,3.09,26,0.0592,10.65,23.56
263,34,10.29,10.00,4,2.64,26,0.0503,9.05,21.69
264,43,13.01,9.64,10,5.01,28,0.0548,9.87,24.52
265,43,13.01,9.64,6,3.51,28,0.0548,9.87,23.02
266,36,10.89,9.97,3,2.16,24,0.0625,11.25,23.38
267,42,12.71,9.71,4,2.64,26,0.0621,11.18,23.53
268,36,10.89,9.97,1,1.00,24,0.0625,11.25,22.22
269,36,10.89,9.97,2,1.62,24,0.0625,11.25,22.84
270,48,14.52,9.18,4,2.64,28,0.0612,11.02,22.84
271,42,12.71,9.71,3,2.16,26,0.0621,11.18,23.05
272,40,12.10,9.82,1,1.00,26,0.0592,10.65,21.47
273,35,10.59,9.99,1,1.00,24,0.0608,10.94,21.92
274,53,16.03,8.54,4,2.64,30,0.0589,10.60,21.78
275,56,16.94,8.07,6,3.51,30,0.0622,11.20,22.78
276,49,14.82,9.07,5,3.09,28,0.0625,11.25,23.40
277,42,12.71,9.71,7,3.90,26,0.0621,11.18,24.80
278,42,12.71,9.71,4,2.64,26,0.0621,11.18,23.53
279,44,13.31,9.56,7,3.90,30,0.0489,8.80,22.27
280,42,12.71,9.71,9,4.66,26,0.0621,11.18,25.55
281,40,12.10,9.82,6,3.51,26,0.0592,10.65,23.98
282,56,16.94,8.07,8,4.29,30,0.0622,11.20,23.56
283,40,12.10,9.82,6,3.51,26,0.0592,10.65,23.98
284,30,9.08,9.97,1,1.00,22,0.0620,11.16,22.12
285,42,12.71,9.71,8,4.29,26,0.0621,11.18,25.18
286,46,13.92,9.39,7,3.90,28,0.0587,10.56,23.85
287,42,12.71,9.71,7,3.90,26,0.0621,11.18,24.80
288,36,10.89,9.97,1,1.00,24,0.0625,11.25,22.22
289,49,14.82,9.07,5,3.09,28,0.0625,11.25,23.40
290,35,10.59,9.99,1,1.00,24,0.0608,10.94,21.92
291,35,10.59,9.99,3,2.16,24,0.0608,10.94,23.08
292,43,13.01,9.64,7,3.90,28,0.0548,9.87,23.42
293,42,12.71,9.71,3,2.16,26,0.0621,11.18,23.05
294,49,14.82,9.07,3,2.16,28,0.0625,11.25,22.48
295,39,11.80,9.87,3,2.16,26,0.0577,10.38,22.41
296,42,12.71,9.71,4,2.64,26,0.0621,11.18,23.53
297,49,14.82,9.07,8,4.29,28,0.0625,11.25,24.61
298,49,14.82,9.07,7,3.90,28,0.0625,11.25,24.22
299,36,10.89,9.97,4,2.64,24,0.0625,11.25,23.86
300,34,10.29,10.00,5,3.09,26,0.0503,9.05,22.14
301,48,14.52,9.18,1,1.00,28,0.0612,11.02,21.20
302,49,14.82,9.07,8,4.29,28,0.0625,11.25,24.61
303,49,14.82,9.07,2,1.62,28,0.0625,11.25,21.94
304,42,12.71,9.71,6,3.51,26,0.0621,11.18,24.40
305,40,12.10,9.82,7,3.90,26,0.0592,10.65,24.38
306,56,16.94,8.07,8,4.29,30,0.0622,11.20,23.56
307,36,10.89,9.97,2,1.62,24,0.0625,11.25,22.84
308,54,16.34,8.39,8,4.29,30,0.0600,10.80,23.48
309,42,12.71,9.71,3,2.16,26,0.0621,11.18,23.05
310,56,16.94,8.07,5,3.09,30,0.0622,11.20,22.36
311,48,14.52,9.18,8,4.29,28,0.0612,11.02,24.49
312,48,14.52,9.18,6,3.51,28,0.0612,11.02,23.71
313,42,12.71,9.71,10,5.01,26,0.0621,11.18,25.90
314,42,12.71,9.71,3,2.16,26,0.0621,11.18,23.05
315,42,12.71,9.71,1,1.00,26,0.0621,11.18,21.89
316,39,11.80,9.87,4,2.64,26,0.0577,10.38,22.89
317,48,14.52,9.18,1,1.00,28,0.0612,11.02,21.20
318,42,12.71,9.71,3,2.16,26,0.0621,11.18,23.05
319,35,10.59,9.99,2,1.62,24,0.0608,10.94,22.55
320,42,12.71,9.71,4,2.64,26,0.0621,11.18,23.53
321,42,12.71,9.71,8,4.29,26,0.0621,11.18,25.18
322,39,11.80,9.87,9,4.66,28,0.0497,8.95,23.48
323,48,14.52,9.18,2,1.62,28,0.0612,11.02,21.83
324,42,12.71,9.71,3,2.16,26,0.0621,11.18,23.05
325,45,13.61,9.48,7,3.90,28,0.0574,10.33,23.71
326,36,10.89,9.97,3,2.16,24,0.0625,11.25,23.38
327,37,11.19,9.94,6,3.51,26,0.0547,9.85,23.30
328,37,11.19,9.94,3,2.16,26,0.0547,9.85,21.95
329,42,12.71,9.71,5,3.09,26,0.0621,11.18,23.98
330,53,16.03,8.54,6,3.51,30,0.0589,10.60,22.65
331,46,13.92,9.39,7,3.90,28,0.0587,10.56,23.85
